                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1961,                 4.6627,                 4.0512,                0.28306,                0.05686,                0.02199,                0.00759,                 2.7623,                 3.8533,                 3.5397,              0.0033293,              0.0033293,              0.0033293
                      2,                 2.2762,                  3.508,                 2.8276,                0.30315,                0.32308,                0.24475,                0.08889,                 2.2455,                 3.2285,                 2.8115,              0.0065967,              0.0065967,              0.0065967
                      3,                 1.8621,                 2.6847,                 2.3442,                0.56774,                0.35864,                0.40067,                0.18039,                 2.0288,                 2.5893,                 2.5833,              0.0097981,              0.0097981,              0.0097981
                      4,                 1.6839,                 2.3002,                 2.1198,                0.55942,                 0.4743,                0.48764,                0.23183,                 1.8721,                 2.1927,                 2.3175,               0.009703,               0.009703,               0.009703
                      5,                 1.5689,                 2.0231,                 1.9752,                0.62175,                0.56691,                0.58144,                0.29964,                 1.7893,                 1.9644,                 2.2441,               0.009604,               0.009604,               0.009604
                      6,                 1.5043,                 1.8682,                 1.9038,                0.65141,                0.56716,                 0.6009,                0.31969,                 1.6986,                 1.7725,                 2.0885,               0.009505,               0.009505,               0.009505
                      7,                 1.4584,                 1.7589,                   1.84,                 0.6916,                0.58303,                0.64281,                0.35269,                 1.6714,                 1.7249,                 2.0442,               0.009406,               0.009406,               0.009406
                      8,                 1.4207,                 1.6797,                  1.794,                0.76434,                0.59987,                 0.6733,                 0.3783,                 1.6174,                 1.6246,                 1.9578,               0.009307,               0.009307,               0.009307
                      9,                 1.3811,                 1.5988,                 1.7523,                0.72279,                0.64544,                0.68861,                0.39374,                 1.5761,                 1.5228,                 1.9072,               0.009208,               0.009208,               0.009208
                     10,                 1.3649,                 1.5456,                 1.7333,                0.74216,                 0.6583,                0.70268,                0.40651,                 1.5297,                 1.4674,                 1.8694,               0.009109,               0.009109,               0.009109
                     11,                 1.3422,                 1.5079,                 1.7094,                0.73036,                0.67974,                0.70989,                0.42481,                 1.4777,                 1.4032,                 1.8246,                0.00901,                0.00901,                0.00901
                     12,                 1.3264,                 1.4671,                 1.6834,                0.74929,                0.68555,                0.72232,                0.43742,                 1.4697,                 1.3598,                  1.804,               0.008911,               0.008911,               0.008911
                     13,                 1.3063,                 1.4378,                 1.6678,                0.73613,                0.70834,                 0.7285,                0.44336,                  1.451,                 1.3222,                   1.77,               0.008812,               0.008812,               0.008812
                     14,                 1.2886,                 1.4022,                 1.6497,                0.78167,                0.69397,                0.73861,                0.44924,                 1.4325,                 1.2997,                 1.7549,               0.008713,               0.008713,               0.008713
                     15,                 1.2762,                 1.3708,                 1.6325,                0.77618,                0.70728,                0.74275,                0.45934,                 1.4229,                 1.2742,                 1.7318,               0.008614,               0.008614,               0.008614
                     16,                 1.2632,                 1.3548,                 1.6194,                0.76533,                0.72527,                0.75436,                0.46995,                 1.3904,                  1.225,                 1.7075,               0.008515,               0.008515,               0.008515
                     17,                 1.2551,                 1.3296,                 1.6102,                0.76603,                0.72879,                0.75941,                0.48079,                 1.3618,                 1.2125,                 1.6778,               0.008416,               0.008416,               0.008416
                     18,                 1.2441,                 1.3089,                 1.5965,                0.76607,                0.71947,                0.75878,                0.48142,                 1.3516,                 1.1918,                 1.6643,               0.008317,               0.008317,               0.008317
                     19,                 1.2324,                 1.2837,                 1.5817,                0.77637,                0.72586,                0.76716,                0.48878,                  1.342,                 1.1699,                 1.6484,               0.008218,               0.008218,               0.008218
                     20,                 1.2225,                 1.2688,                 1.5754,                0.78434,                0.72083,                0.77044,                0.49766,                 1.3225,                 1.1602,                 1.6325,               0.008119,               0.008119,               0.008119
                     21,                 1.2152,                 1.2574,                 1.5637,                0.76974,                0.73912,                 0.7655,                0.49204,                 1.3148,                  1.148,                  1.615,                0.00802,                0.00802,                0.00802
                     22,                 1.2035,                 1.2411,                 1.5537,                 0.7706,                0.73993,                 0.7696,                0.49817,                 1.3074,                 1.1302,                 1.6162,               0.007921,               0.007921,               0.007921
