                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2605,                 4.7042,                  4.107,                0.18844,                0.17179,                0.02936,                0.00738,                  2.857,                 4.5489,                 3.5767,               0.003333,               0.003333,               0.003333
                      2,                 2.2409,                 3.4144,                 2.8014,                0.43356,                0.39016,                0.33251,                0.14879,                 2.0342,                  2.671,                 2.6437,              0.0066003,              0.0066003,              0.0066003
                      3,                 1.7892,                  2.662,                 2.3086,                0.52692,                0.47418,                0.46891,                0.24232,                 1.7785,                 2.2725,                 2.3428,              0.0098016,              0.0098016,              0.0098016
                      4,                 1.6527,                 2.3655,                 2.1516,                0.59502,                 0.5448,                0.55898,                0.30028,                 1.6876,                 1.9474,                 2.2041,               0.009703,               0.009703,               0.009703
                      5,                 1.5509,                 2.1299,                 2.0427,                0.60356,                0.60905,                0.62489,                0.34708,                 1.6061,                 1.7512,                 2.1056,               0.009604,               0.009604,               0.009604
                      6,                 1.4768,                  1.974,                 1.9688,                0.63094,                0.62774,                0.63591,                0.36597,                 1.5339,                   1.67,                 2.0177,               0.009505,               0.009505,               0.009505
                      7,                 1.4278,                 1.8467,                 1.9181,                0.67654,                0.65384,                 0.6694,                 0.3871,                 1.5037,                 1.5704,                 1.9556,               0.009406,               0.009406,               0.009406
                      8,                 1.3946,                 1.7529,                  1.877,                0.70476,                0.66294,                0.69063,                  0.413,                 1.4551,                 1.4972,                 1.9096,               0.009307,               0.009307,               0.009307
                      9,                 1.3685,                 1.6916,                 1.8477,                 0.7345,                0.67782,                0.70381,                0.42231,                 1.4194,                 1.4313,                 1.8732,               0.009208,               0.009208,               0.009208
                     10,                 1.3438,                 1.6163,                 1.8241,                0.75143,                0.69075,                 0.7216,                0.44824,                 1.4224,                 1.3745,                 1.8626,               0.009109,               0.009109,               0.009109
                     11,                 1.3231,                 1.5699,                 1.8011,                0.73492,                 0.7077,                0.73308,                0.46314,                   1.37,                 1.3659,                 1.8133,                0.00901,                0.00901,                0.00901
                     12,                 1.3036,                 1.5296,                 1.7814,                0.72252,                0.71434,                0.72584,                0.47238,                 1.3465,                 1.3294,                 1.7791,               0.008911,               0.008911,               0.008911
                     13,                 1.2808,                 1.4757,                 1.7575,                0.73508,                 0.7095,                0.72798,                0.47698,                 1.3195,                 1.2765,                 1.7533,               0.008812,               0.008812,               0.008812
                     14,                 1.2604,                 1.4364,                 1.7334,                0.72016,                 0.7308,                 0.7279,                0.47735,                 1.2921,                 1.2532,                 1.7183,               0.008713,               0.008713,               0.008713
